cont_id,recency,frequency,monetary value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Total Score,Segment
100000005,5011.0,7,19751.410000000003,1,4,4,144,9,Require Activation
100000029,5006.0,1,4179.93,1,1,2,112,4,Champions
100000037,5010.0,1,4520.31,1,1,2,112,4,Champions
100000039,5021.0,2,7187.9400000000005,1,2,2,122,5,Loyal
100000040,5026.0,1,5905.0,1,1,2,112,4,Champions
100000041,5018.0,6,20703.579999999998,1,4,4,144,9,Require Activation
100000046,4778.0,2,4660.15,1,2,2,122,5,Loyal
100000048,4999.0,1,882.95,1,1,1,111,3,Can't Loose Them
100000053,4891.0,2,0.0,1,2,1,121,4,Champions
100000054,4991.0,1,2439.99,1,1,1,111,3,Can't Loose Them
100000055,4991.0,1,221.07,1,1,1,111,3,Can't Loose Them
100000056,3409.0,1,1094.99,1,1,1,111,3,Can't Loose Them
100000064,5011.0,1,12286.59,1,1,3,113,5,Loyal
100000065,5020.0,2,10780.16,1,2,3,123,6,Potential
100000067,5047.0,1,1741.35,1,1,1,111,3,Can't Loose Them
100000068,4820.0,5,9261.0,1,3,3,133,7,Promising
100000069,5016.0,1,4055.0,1,1,2,112,4,Champions
100000070,5003.0,2,6655.0,1,2,2,122,5,Loyal
100000071,5022.0,1,4023.0,1,1,2,112,4,Champions
100000072,5007.0,1,0.0,1,1,1,111,3,Can't Loose Them
100000073,4131.0,2,12943.9,1,2,3,123,6,Potential
100000076,2878.0,1,6077.5,1,1,2,112,4,Champions
100000079,4986.0,2,9370.17,1,2,3,123,6,Potential
100000081,4605.0,2,19964.0,1,2,4,124,7,Promising
100000084,4985.0,1,4560.0,1,1,2,112,4,Champions
100000087,4982.0,1,4399.66,1,1,2,112,4,Champions
100000088,4982.0,1,4940.4,1,1,2,112,4,Champions
100000094,4951.0,1,9619.07,1,1,3,113,5,Loyal
100000097,4991.0,1,220.0,1,1,1,111,3,Can't Loose Them
100000100,4977.0,1,1614.76,1,1,1,111,3,Can't Loose Them
100000102,4976.0,1,3150.0,1,1,2,112,4,Champions
100000107,4976.0,3,6919.49,1,3,2,132,6,Potential
100000109,4974.0,1,2905.0,1,1,1,111,3,Can't Loose Them
100000209,792.0,13,45245.200000000004,3,4,4,344,11,Require Activation
100000211,4962.0,3,11916.670000000002,1,3,3,133,7,Promising
100000213,4922.0,2,5458.16,1,2,2,122,5,Loyal
100000214,4959.0,1,10959.07,1,1,3,113,5,Loyal
100000216,4711.0,3,12305.42,1,3,3,133,7,Promising
100000218,4956.0,2,10290.0,1,2,3,123,6,Potential
100000224,4953.0,1,9000.0,1,1,3,113,5,Loyal
100000225,4798.0,1,0.0,1,1,1,111,3,Can't Loose Them
100000238,4950.0,1,1167.61,1,1,1,111,3,Can't Loose Them
100000240,4947.0,1,257.44,1,1,1,111,3,Can't Loose Them
100000241,4947.0,1,2482.93,1,1,1,111,3,Can't Loose Them
100000243,4946.0,2,2159.16,1,2,1,121,4,Champions
100000244,4941.0,1,4200.0,1,1,2,112,4,Champions
100000246,4946.0,1,245.0,1,1,1,111,3,Can't Loose Them
100000252,4943.0,2,6761.0,1,2,2,122,5,Loyal
100000260,4934.0,2,7500.0,1,2,3,123,6,Potential
100000263,4872.0,2,9497.5,1,2,3,123,6,Potential
100000266,4877.0,1,204.55,1,1,1,111,3,Can't Loose Them
100000267,4811.0,1,5003.0,1,1,2,112,4,Champions
100000270,4928.0,1,3084.02,1,1,2,112,4,Champions
100000272,4928.0,3,4552.719999999999,1,3,2,132,6,Potential
100000274,2345.0,4,11263.5,2,3,3,233,8,Needs Attention
100000276,4927.0,1,4992.85,1,1,2,112,4,Champions
100000278,4927.0,1,0.0,1,1,1,111,3,Can't Loose Them
100000281,4927.0,2,13468.8,1,2,3,123,6,Potential
100000288,4411.0,8,18729.4,1,4,4,144,9,Require Activation
100000291,4923.0,1,4540.46,1,1,2,112,4,Champions
100000292,4923.0,1,3520.0,1,1,2,112,4,Champions
100000293,4923.0,1,5013.37,1,1,2,112,4,Champions
100000294,4922.0,1,1656.0,1,1,1,111,3,Can't Loose Them
100000306,4921.0,1,4301.0,1,1,2,112,4,Champions
100000307,4509.0,1,807.09,1,1,1,111,3,Can't Loose Them
100000308,4921.0,1,1325.5,1,1,1,111,3,Can't Loose Them
100000309,4648.0,3,7937.5599999999995,1,3,3,133,7,Promising
100000310,4920.0,2,10851.0,1,2,3,123,6,Potential
100000311,4890.0,1,0.0,1,1,1,111,3,Can't Loose Them
100000313,4920.0,2,2601.0,1,2,1,121,4,Champions
100000314,4919.0,5,9996.09,1,3,3,133,7,Promising
100000315,4919.0,1,1540.0,1,1,1,111,3,Can't Loose Them
100000318,4919.0,1,3647.5,1,1,2,112,4,Champions
100000319,4918.0,1,1818.0,1,1,1,111,3,Can't Loose Them
100000321,4917.0,1,0.0,1,1,1,111,3,Can't Loose Them
100000322,4914.0,4,8765.71,1,3,3,133,7,Promising
100000324,4530.0,5,2548.0,1,3,1,131,5,Loyal
100000325,4915.0,1,0.0,1,1,1,111,3,Can't Loose Them
100000329,4913.0,1,5702.61,1,1,2,112,4,Champions
